name,game_id
Tomb Raider: Anniversary,1162
Tomb Raider II,1156
Resident Evil 4,20065
Metal Gear Solid 3: Snake Eater,379
Metal Gear Solid 4: Guns of the Patriots,380
Quake,332258
Quake II,332259
Half-Life,228891
System Shock 2,22
Thief: The Dark Project,2
Thief II: The Metal Age,1
Grand Theft Auto: Vice City,215550
Grand Theft Auto: San Andreas,732
Assassin's Creed,128
Assassin's Creed II,127
Uncharted: Drake's Fortune,431
Prince of Persia: The Sands of Time,836
Prince of Persia: Warrior Within,837
God of War,19560
Batman: Arkham Asylum,500
Silent Hill 2,222485
Dead Space,131931
Halo: Combat Evolved,740
Call of Duty 4: Modern Warfare,135294
Half-Life 2,233
BioShock,152660
Metro 2033,495
Crysis,296
The Elder Scrolls III: Morrowind,56
The Elder Scrolls IV: Oblivion,59
Mass Effect,131436
Fallout 3,15
The Witcher,80
Dragon Age: Origins,76
Star Wars: Knights of the Old Republic,116
Final Fantasy X HD Remaster,21899
Deus Ex: Invisible War,42
Hitman: Blood Money,1048
Tom Clancy's Splinter Cell: Chaos Theory,243021
Burnout 3: Takedown,5761
Need for Speed: Most Wanted,98
Need for Speed: Underground,96
Need for Speed: Carbon,99
Warcraft III: Reign of Chaos,132
Company of Heroes,654
Rome: Total War,438
Sid Meier's Civilization V,866
World of Warcraft,123
Guild Wars,234
Lineage II,2971
Portal,311949
Mortal Kombat,119
Devil May Cry 2,135
Devil May Cry 3: Dante's Awakening,136
Devil May Cry 4,112
