image_id,game_id,name,release_date,rating,genres,player_perspectives,platforms
koajaesby7cmhujlcwkl,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
poegvjadtys8fflxpxnu,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
lrx26njeiciksjqby7ou,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
vux5gzepdeqvhvm84rcz,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
jlt7ncnm7cheka0hmypd,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
vbr5pcodmqah56dbsc9v,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
uu9ch2azikxoc06kdlsm,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
odn0rkifmflc0xusbovl,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
diemffq1eggulafx3bqm,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
vbdsy0skk851bz9d5xic,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
iqfqrjvymtqgmy9liedj,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
u8hzyqyvtimflivvlyqz,1105,Metroid Prime,1037491200,92.51745425577823,"Shooter, Platform, Puzzle, Adventure",First person,[21]
sc8915,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
sc8917,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
sc8916,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
sc8919,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
sc891b,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
sc891a,481,Silent Hill 2,1001289600,91.01989778236066,"Puzzle, Adventure",Third person,[8]
meykaqey1soxhtcpawbk,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
tr3gnlvwjny4hhoxohjf,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
h4j196xtabauif8kfyzk,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
u5wjmqgocr56mbjiy39o,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
t6sbntrryrakyhizdoab,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs28v,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs28w,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs28x,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs28y,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs28z,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
scs290,116,Star Wars: Knights of the Old Republic,1058227200,90.68185873742657,"Role-playing (RPG), Adventure",Third person,"[11, 34, 6, 39, 14, 130]"
