title,genres
Assassin's Creed,"Role-playing (RPG), Adventure"
Assassin's Creed II,"Platform, Adventure"
Batman: Arkham Asylum,"Hack and slash/Beat 'em up, Adventure"
BioShock,"Shooter, Hack and slash/Beat 'em up, Adventure"
Burnout 3: Takedown,Racing
Call of Duty 4: Modern Warfare,"Shooter, Simulator"
Company of Heroes,"Real Time Strategy (RTS), Strategy"
Crysis,"Shooter, Adventure"
Dead Space,"Shooter, Adventure"
Deus Ex: Invisible War,"Shooter, Role-playing (RPG)"
Devil May Cry 2,"Hack and slash/Beat 'em up, Adventure"
Devil May Cry 3: Dante's Awakening,"Shooter, Hack and slash/Beat 'em up, Adventure"
Devil May Cry 4,"Hack and slash/Beat 'em up, Adventure"
Dragon Age: Origins,Role-playing (RPG)
Final Fantasy X HD Remaster,"Role-playing (RPG), Adventure"
God of War,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure"
Grand Theft Auto: San Andreas,"Shooter, Racing, Adventure"
Grand Theft Auto: Vice City,"Racing, Hack and slash/Beat 'em up, Adventure, Arcade"
Guild Wars,"Role-playing (RPG), Strategy, Adventure"
Half-Life,Shooter
Half-Life 2,Shooter
Halo: Combat Evolved,Shooter
Hitman: Blood Money,Shooter
Lineage II,"Role-playing (RPG), Adventure"
Mass Effect,Role-playing (RPG)
Metal Gear Solid 3: Snake Eater,"Shooter, Tactical, Adventure"
Metal Gear Solid 4: Guns of the Patriots,"Shooter, Tactical, Adventure"
Mortal Kombat,Fighting
Need for Speed: Carbon,Racing
Need for Speed: Most Wanted,Racing
Need for Speed: Underground,Racing
Portal,"Shooter, Platform, Puzzle"
Prince of Persia: The Sands of Time,"Platform, Puzzle, Adventure"
Prince of Persia: Warrior Within,Adventure
Quake,Shooter
Quake II,Shooter
Resident Evil 4,"Shooter, Adventure"
Rome: Total War,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
Sid Meier's Civilization V,"Simulator, Strategy, Turn-based strategy (TBS)"
Silent Hill 2,Adventure
Star Wars: Knights of the Old Republic,"Role-playing (RPG), Adventure"
System Shock 2,"Shooter, Puzzle, Role-playing (RPG)"
The Elder Scrolls III: Morrowind,"Role-playing (RPG), Adventure"
The Elder Scrolls IV: Oblivion,"Role-playing (RPG), Adventure"
The Witcher,"Role-playing (RPG), Adventure"
Thief II: The Metal Age,"Shooter, Simulator, Adventure"
Thief: The Dark Project,"Simulator, Adventure"
Tom Clancy's Splinter Cell: Chaos Theory,Arcade
Tomb Raider II,"Shooter, Platform, Puzzle, Adventure"
Tomb Raider: Anniversary,"Shooter, Platform, Simulator, Strategy, Adventure"
Uncharted: Drake's Fortune,"Shooter, Platform, Adventure"
Warcraft III: Reign of Chaos,"Real Time Strategy (RTS), Strategy"
World of Warcraft,"Role-playing (RPG), Adventure"
