game,url
Tomb Raider: Anniversary,https://www.youtube.com/watch?v=QJsw-IQjtzQ
Tomb Raider II,https://www.youtube.com/watch?v=iF6CWg4mYPA
Resident Evil 4,https://www.youtube.com/watch?v=m-bzZo_sRzY
Metal Gear Solid 3: Snake Eater,https://www.youtube.com/watch?v=1OULTZHx83g
Metal Gear Solid 4: Guns of the Patriots,https://www.youtube.com/watch?v=x6Uetfi8i24
Quake,https://www.youtube.com/watch?v=WJ_xy0agNm4
Quake II,https://www.youtube.com/watch?v=hSvKhiyQwwQ
Half-Life,https://www.youtube.com/watch?v=Atz_IGbNaAY
System Shock 2,https://www.youtube.com/watch?v=1HhPuDT4NKY
Thief: The Dark Project,https://www.youtube.com/watch?v=9MgpKl-tTR4
Thief II: The Metal Age,https://www.youtube.com/watch?v=4kiSR0u00lc
Grand Theft Auto: Vice City,https://www.youtube.com/watch?v=N9YvopAJEgo
Grand Theft Auto: San Andreas,https://www.youtube.com/watch?v=ZvPem5XYBrU
Assassin's Creed,https://www.youtube.com/watch?v=02GhfiB1Tnk
Assassin's Creed II,https://www.youtube.com/watch?v=wnUFurnVRCk
Uncharted: Drake's Fortune,https://www.youtube.com/watch?v=D6lbQkScKmo
Prince of Persia: The Sands of Time,https://www.youtube.com/watch?v=dYVJCfruwqs
Prince of Persia: Warrior Within,https://www.youtube.com/watch?v=ZECEw0GzFUs
God of War,https://www.youtube.com/watch?v=3NEoBh2nFcM
Batman: Arkham Asylum,https://www.youtube.com/watch?v=yj4Qw6PMlvk
Silent Hill 2,https://www.youtube.com/watch?v=k7Kr15i7qeI
Dead Space,https://www.youtube.com/watch?v=NkXzYBxrGrg
Halo: Combat Evolved,https://www.youtube.com/watch?v=KevvNtOuEFo
Call of Duty 4: Modern Warfare,https://www.youtube.com/watch?v=GGKpAfEMAcI
Half-Life 2,https://www.youtube.com/watch?v=006iRze12HQ
BioShock,https://www.youtube.com/watch?v=xDmRihkzzHE
Metro 2033,https://www.youtube.com/watch?v=Mbr1PhVcNrU
Crysis,https://www.youtube.com/watch?v=dkWUX_vpnAU
The Elder Scrolls III: Morrowind,https://www.youtube.com/watch?v=gm9sZbKQOqg
The Elder Scrolls IV: Oblivion,https://www.youtube.com/watch?v=FCvP2AmrcKA&t=2196s
Mass Effect,https://www.youtube.com/watch?v=Z8v7xCIGoQA
Fallout 3,https://www.youtube.com/watch?v=Bu2pP7QEYfg
The Witcher,https://www.youtube.com/watch?v=w7Irl3dQvlA
Dragon Age: Origins,https://www.youtube.com/watch?v=MNlCCoPeghg
Star Wars: Knights of the Old Republic,https://www.youtube.com/watch?v=trYZFE0eh5k
Final Fantasy X HD Remaster,https://www.youtube.com/watch?v=7kgGgdqnfEE
Deus Ex: Invisible War,https://www.youtube.com/watch?v=R0Cv_920maU
Hitman: Blood Money,https://www.youtube.com/watch?v=CKcFI4usUPo
Tom Clancy's Splinter Cell: Chaos Theory,https://www.youtube.com/watch?v=XAOUaJg9gR4
Burnout 3: Takedown,https://www.youtube.com/watch?v=R6vHTQv9JHY
Need for Speed: Most Wanted,https://www.youtube.com/watch?v=k_9F5QvHOQk
Need for Speed: Underground,https://www.youtube.com/watch?v=8QEVyAJ2kjs
Need for Speed: Carbon,https://www.youtube.com/watch?v=pl246uA740Y
Warcraft III: Reign of Chaos,https://www.youtube.com/watch?v=KGbnjaXjIlI
Company of Heroes,https://www.youtube.com/watch?v=SNne0k7XCxM
Rome: Total War,https://www.youtube.com/watch?v=G-tBmzRiBhs
Sid Meier's Civilization V,https://www.youtube.com/watch?v=Jx-2p5iN8AM
World of Warcraft,https://www.youtube.com/watch?v=wAFbMmfzg6k
Guild Wars,https://www.youtube.com/watch?v=5uUPAzFCuOk
Lineage II,https://www.youtube.com/watch?v=ogZPQtZPTfU
Portal,https://www.youtube.com/watch?v=0P2dzIa6pZY
Mortal Kombat,https://www.youtube.com/watch?v=wyCWzfv6FJ0
Devil May Cry 2,https://www.youtube.com/watch?v=6zWLpw7CuM8
Devil May Cry 3: Dante's Awakening,https://www.youtube.com/watch?v=4xHX0D867Wk
Devil May Cry 4,https://www.youtube.com/watch?v=dlSUJVJHfD0
